,pr_predict_cc
574,0
575,0.083925635
576,0.06651198
577,0.089425935
578,0.050064772
579,0.11087986
580,0
581,0.043845595
582,0.034185032
583,0.066276825
584,0
585,0.07587308
586,0.165004346
587,0.051290488
588,0.133311986
589,10.56481035
590,8.403715915
591,0.112826977
592,0.111421279
593,0
594,0.067805961
595,0.099212336
596,1.901049963
597,0.01187247
598,0.099854898
599,0.117261615
600,0
601,0
602,0
603,0
604,0.038009871
605,0.122558443
606,0.017526456
607,0.050612193
608,0.154421657
609,0
610,1.218691751
611,0.081150308
612,0.017559279
613,0.111498059
614,0.430021999
615,0
616,0.51795995
617,0.030809069
618,0.064155381
619,0.052935241
620,0.157894357
621,0
622,0.132839145
623,0.045784321
624,0.079577807
625,0.003811796
626,0.100866505
627,0.058083883
628,0.239777848
629,3.309291567
630,0.537805369
631,0.07177895
632,0
633,0.029529299
634,0.011521986
635,0.06681721
636,0.119861337
637,0.05081465
638,0.120731966
639,0.289880076
640,0.210335195
641,0.096359889
642,3.719352326
643,2.719062532
644,0.252697124
645,13.60478549
646,1.130863314
647,0.112842744
648,0.080081876
649,0.010358871
650,0.072973473
651,1.153227385
652,1.992596617
653,0.209440518
654,0.007091504
655,29.33129103
656,0.362051188
657,3.796285222
658,2.754717084
659,0.213059911
660,0.079116767
661,0.100807501
662,0.560666066
663,6.644981832
664,15.46777562
665,9.169263128
666,10.80855621
667,23.62258753
668,5.928039631
669,11.74129423
670,7.858662057
671,20.84599425
672,16.22394379
673,2.562697588
674,1.365055667
675,0.135280344
676,0.0792589
677,0.019485782
678,0
679,0.025330547
680,2.216858743
681,7.522907626
682,1.018550383
683,0.16283229
684,1.05821504
685,4.901778882
686,1.935373378
687,8.548831853
688,0.689345529
689,6.953590435
690,2.013835409
691,0.2730945
692,0.320771882
693,2.765342166
694,0.695115324
695,1.733788641
696,14.20104065
697,9.163840068
698,11.67539069
699,10.83527195
700,2.784945567
701,5.077385173
702,23.82703933
703,6.663652619
704,0.296646498
705,1.103733974
706,2.799799317
707,8.494020502
708,16.81695261
709,1.676764901
710,0.346424312
711,0.700405833
712,0.548981003
713,0.717173565
714,10.22932345
715,7.013353328
716,0.469873544
717,8.874035621
718,2.871994513
719,0.497228211
720,0.202613489
721,0.967563463
722,2.439142151
723,13.23847473
724,0.821044287
725,4.495630929
726,0.370762182
